31320962,mex,2,1,0,10000,VMW,1,vrx,1
94088304,web,2,1,1,10001,MKD,2,rwi,1
17100030,yuy,1,1,2,10002,VRE,1,hgn,1
66828074,dco,1,2,3,10003,ANH,3,nxc,1
32655600,huf,2,2,4,10004,GST,1,mcy,1
50108053,qov,2,1,5,10005,PJL,2,ltp,1
96707017,lbh,1,2,6,10006,BAK,3,bnn,1
21918385,sbj,1,1,7,10007,OUE,1,gii,1
16860457,gnx,2,3,8,10008,HVJ,1,fds,1
78144311,uon,2,1,9,10009,BNN,1,qla,1
53506860,eai,2,2,10,10010,EBQ,2,vpl,1
21523983,mfo,1,2,11,10011,DKS,2,wnm,1
77382866,gmi,2,2,12,10012,KQL,2,gvc,1
10043004,smj,1,4,13,10013,JXK,1,lfp,1
96212653,lxo,2,4,14,10014,XSG,1,rbs,1
64255154,vxb,2,2,15,10015,SUS,3,mlw,1
84143680,hkm,2,4,16,10016,COC,3,qtc,1
42541968,qve,1,1,17,10017,DJE,1,dgr,1
17837954,mll,1,4,18,10018,DOY,1,eys,1
30233197,crx,2,4,19,10019,VYI,1,qwd,1
16030021,xmp,1,1,20,10020,NEU,2,ooi,1
47580577,dik,1,4,21,10021,KFR,1,bgr,1
94341841,oty,2,4,22,10022,SAS,1,ceq,1
42115679,whw,1,4,23,10023,GHQ,3,ruf,1
54162898,xrf,1,4,24,10024,GLL,1,xva,1
49266859,nkp,2,3,25,10025,UVI,2,ghd,1
16752240,isr,1,1,26,10026,TXE,3,rei,1
47129312,cur,1,2,27,10027,VND,2,tvf,1
30469995,oqn,1,4,28,10028,QPI,1,gke,1
74876671,cbf,2,1,29,10029,RXX,3,fhu,1
77552704,wqj,2,1,30,10030,IUT,1,aag,1
61903990,prj,2,3,31,10031,SQB,2,ktv,1
45244383,kxk,2,4,32,10032,PXT,1,peo,1
65863047,jfa,1,3,33,10033,NMI,3,fkf,1
55799536,kbr,1,4,34,10034,QIM,3,sos,1
91286237,syx,1,2,35,10035,XSU,1,kkg,1
