10000,Mon,9,11,
10001,Tue,10,12,
10002,Fri,11,13,
10003,Wed,12,14,
10004,Fri,13,15,
10005,Tue,14,16,
10006,Fri,15,17,
10007,Tue,16,18,
10008,Thu,17,19,
10009,Mon,18,20,
10010,Sat,9,11,
10011,Sat,10,12,
10012,Sat,11,13,
10013,Fri,12,14,
10014,Thu,13,15,
10015,Thu,14,16,
10016,Thu,15,17,
10017,Fri,16,18,
10018,Fri,17,19,
10019,Fri,18,20,
10020,Sat,9,11,
10021,Tue,10,12,
10022,Tue,11,13,
10023,Tue,12,14,
10024,Fri,13,15,
10025,Tue,14,16,
10026,Wed,15,17,
10027,Sat,16,18,
10028,Thu,17,19,
10029,Wed,18,20,
10030,Mon,9,11,
10031,Wed,10,12,
10032,Sat,11,13,
10033,Tue,12,14,
10034,Mon,13,15,
10035,Fri,14,16,
10036,Mon,15,17,
10037,Fri,16,18,
10038,Mon,17,19,
10039,Tue,18,20,
10040,Thu,9,11,
10041,Tue,10,12,
10042,Tue,11,13,
10043,Sat,12,14,
10044,Mon,13,15,
10045,Tue,14,16,
10046,Wed,15,17,
10047,Sat,16,18,
10048,Fri,17,19,
10049,Sat,18,20,
10050,Wed,9,11,
10051,Fri,10,12,
10052,Mon,11,13,
10053,Tue,12,14,
10054,Mon,13,15,
10055,Tue,14,16,
10056,Sat,15,17,
10057,Mon,16,18,
10058,Sat,17,19,
10059,Wed,18,20,
10060,Fri,9,11,
10061,Fri,10,12,
10062,Thu,11,13,
10063,Thu,12,14,
10064,Sat,13,15,
10065,Mon,14,16,
10066,Thu,15,17,
10067,Wed,16,18,
10068,Tue,17,19,
10069,Mon,18,20,
10070,Mon,9,11,
10071,Tue,10,12,
10072,Wed,11,13,
10073,Sat,12,14,
10074,Mon,13,15,
10075,Mon,14,16,
10076,Tue,15,17,
10077,Wed,16,18,
10078,Fri,17,19,
10079,Wed,18,20,
10080,Mon,9,11,
10081,Tue,10,12,
10082,Mon,11,13,
10083,Thu,12,14,
10084,Wed,13,15,
10085,Sat,14,16,
10086,Mon,15,17,
10087,Wed,16,18,
10088,Sat,17,19,
10089,Sat,18,20,
10090,Thu,9,11,
10091,Sat,10,12,
10092,Tue,11,13,
10093,Mon,12,14,
10094,Thu,13,15,
10095,Mon,14,16,
10096,Tue,15,17,
10097,Sat,16,18,
10098,Tue,17,19,
10099,Fri,18,20,
10100,Sat,9,11,
10101,Mon,10,12,
10102,Thu,11,13,
10103,Thu,12,14,
10104,Tue,13,15,
10105,Fri,14,16,
10106,Mon,15,17,
10107,Tue,16,18,
10108,Mon,17,19,
10109,Fri,18,20,
10110,Sat,9,11,
10111,Tue,10,12,
10112,Thu,11,13,
10113,Sat,12,14,
10114,Sat,13,15,
10115,Tue,14,16,
10116,Thu,15,17,
10117,Fri,16,18,
10118,Wed,17,19,
10119,Wed,18,20,
10120,Thu,9,11,
10121,Thu,10,12,
10122,Sat,11,13,
10123,Sat,12,14,
10124,Wed,13,15,
10125,Wed,14,16,
10126,Tue,15,17,
10127,Wed,16,18,
10128,Wed,17,19,
10129,Wed,18,20,
10130,Fri,9,11,
10131,Mon,10,12,
10132,Thu,11,13,
10133,Fri,12,14,
10134,Tue,13,15,
10135,Wed,14,16,
10136,Thu,15,17,
10137,Tue,16,18,
10138,Fri,17,19,
10139,Sat,18,20,
10140,Sat,9,11,
10141,Wed,10,12,
10142,Wed,11,13,
10143,Wed,12,14,
10144,Thu,13,15,
10145,Sat,14,16,
10146,Fri,15,17,
10147,Wed,16,18,
10148,Tue,17,19,
10149,Wed,18,20,
10150,Wed,9,11,
10151,Wed,10,12,
10152,Sat,11,13,
10153,Tue,12,14,
10154,Wed,13,15,
10155,Wed,14,16,
10156,Fri,15,17,
10157,Sat,16,18,
10158,Mon,17,19,
10159,Wed,18,20,
10160,Wed,9,11,
10161,Thu,10,12,
10162,Thu,11,13,
10163,Tue,12,14,
10164,Mon,13,15,
10165,Fri,14,16,
10166,Thu,15,17,
10167,Sat,16,18,
10168,Fri,17,19,
10169,Sat,18,20,
10170,Tue,9,11,
10171,Sat,10,12,
10172,Tue,11,13,
10173,Mon,12,14,
10174,Sat,13,15,
10175,Tue,14,16,
10176,Wed,15,17,
10177,Wed,16,18,
10178,Mon,17,19,
10179,Thu,18,20,
10180,Wed,9,11,
10181,Tue,10,12,
10182,Mon,11,13,
10183,Tue,12,14,
10184,Fri,13,15,
10185,Wed,14,16,
10186,Fri,15,17,
10187,Wed,16,18,
10188,Fri,17,19,
10189,Thu,18,20,
10190,Thu,9,11,
10191,Tue,10,12,
10192,Sat,11,13,
10193,Mon,12,14,
10194,Thu,13,15,
10195,Sat,14,16,
10196,Mon,15,17,
