2010000,31320962,mex,2,1,1,vrx,
2010001,94088304,web,2,1,1,rwi,
2010002,17100030,yuy,1,1,1,hgn,
2010003,66828074,dco,1,2,1,nxc,
2010004,32655600,huf,2,2,1,mcy,
2010005,50108053,qov,2,1,1,ltp,
2010006,96707017,lbh,1,2,1,bnn,
2010007,21918385,sbj,1,1,1,gii,
2010008,16860457,gnx,2,3,1,fds,
2010009,78144311,uon,2,1,1,qla,
2010010,53506860,eai,2,2,1,vpl,
2010011,21523983,mfo,1,2,1,wnm,
2010012,77382866,gmi,2,2,1,gvc,
2010013,10043004,smj,1,4,1,lfp,
2010014,96212653,lxo,2,4,1,rbs,
2010015,64255154,vxb,2,2,1,mlw,
2010016,84143680,hkm,2,4,1,qtc,
2010017,42541968,qve,1,1,1,dgr,
2010018,17837954,mll,1,4,1,eys,
2010019,30233197,crx,2,4,1,qwd,
2010020,16030021,xmp,1,1,1,ooi,
2010021,47580577,dik,1,4,1,bgr,
2010022,94341841,oty,2,4,1,ceq,
2010023,42115679,whw,1,4,1,ruf,
2010024,54162898,xrf,1,4,1,xva,
2010025,49266859,nkp,2,3,1,ghd,
2010026,16752240,isr,1,1,1,rei,
2010027,47129312,cur,1,2,1,tvf,
2010028,30469995,oqn,1,4,1,gke,
2010029,74876671,cbf,2,1,1,fhu,
2010030,77552704,wqj,2,1,1,aag,
2010031,61903990,prj,2,3,1,ktv,
2010032,45244383,kxk,2,4,1,peo,
2010033,65863047,jfa,1,3,1,fkf,
2010034,55799536,kbr,1,4,1,sos,
2010035,91286237,syx,1,2,1,kkg,
2010036,68082741,mio,1,2,1,occ,
2010037,57519785,dei,2,2,1,blq,
2010038,55680216,tig,1,4,1,qas,
2010039,50757637,nyx,2,1,1,qto,
2010040,68872128,ugf,1,3,1,dtm,
2010041,12671947,ygk,2,3,1,utx,
2010042,20030803,oft,1,3,1,jig,
2010043,49593541,tal,1,3,1,sbe,
2010044,99332178,ubg,2,3,1,hny,
2010045,45556834,lmo,1,2,1,dyg,
2010046,13699087,hqm,2,2,1,xen,
2010047,38469662,kyh,1,3,1,mll,
2010048,41019998,mee,2,3,1,srl,
2010049,76912661,jry,1,3,1,qfh,
2010050,51571884,coc,1,2,1,dbj,
2010051,40858878,xgw,2,2,1,hkt,
2010052,12667984,ghh,1,3,1,lua,
2010053,60208056,prq,2,1,1,ibs,
2010054,92579075,dqt,2,3,1,pyh,
2010055,52257854,ahp,2,1,1,hrq,
2010056,98250085,ksk,2,1,1,efu,
2010057,71924049,gtg,1,3,1,awn,
2010058,94043569,rqr,2,3,1,jky,
2010059,35042893,wvi,2,1,1,krw,
2010060,37260008,kdq,1,3,1,ith,
2010061,65841322,kjt,2,2,1,dku,
2010062,50365515,yui,2,2,1,fsp,
2010063,39576608,lln,1,3,1,bxb,
2010064,50335160,ctn,1,2,1,bsf,
2010065,62388839,tet,1,1,1,rll,
2010066,96210790,shk,1,4,1,kog,
2010067,54071878,tpn,1,1,1,imn,
2010068,86573155,pkh,1,3,1,fhe,
2010069,99276155,nde,1,4,1,ald,
2010070,47117853,isl,1,2,1,yon,
2010071,76666711,oni,2,3,1,pmw,
2010072,63662926,wyq,1,3,1,erd,
2010073,88860127,lbn,1,1,1,yne,
2010074,49743734,efv,2,2,1,yqd,
2010075,53173497,slm,1,4,1,rfx,
2010076,38290524,wke,1,4,1,yvg,
2010077,20987765,gox,1,2,1,scn,
2010078,49839068,eta,1,1,1,yrl,
2010079,63038332,nxf,2,4,1,lxi,
2010080,12179995,awv,2,1,1,jhm,
2010081,87410547,uuu,2,2,1,ktx,
2010082,48473725,yra,2,4,1,dlo,
2010083,44180889,lej,2,2,1,bds,
2010084,18592633,coi,2,2,1,seu,
2010085,85281434,sjg,2,4,1,hmj,
2010086,36028711,ymi,1,1,1,bjj,
2010087,14582576,iis,2,3,1,xwh,
2010088,85133322,srg,1,3,1,hyg,
2010089,42724438,srf,2,1,1,xou,
2010090,39026665,iaj,2,1,1,skc,
2010091,54750481,oen,1,4,1,eml,
2010092,51300531,qvv,1,3,1,stf,
2010093,39007542,snv,1,2,1,qig,
2010094,46992442,ttp,2,1,1,agi,
2010095,20506876,rrs,2,4,1,ufn,
2010096,43366948,voj,1,1,1,sgt,
2010097,75453312,avm,2,1,1,dir,
2010098,35216851,nwb,1,2,1,vut,
2010099,79938801,hvj,2,3,1,wfg,
2010100,74890619,dlo,2,3,1,jtw,
2010101,60887562,psy,1,4,1,faw,
2010102,64540837,vql,2,3,1,ovs,
2010103,31789554,iqh,1,4,1,pnq,
2010104,28431846,yyx,1,4,1,ids,
2010105,97154940,exv,2,2,1,rku,
2010106,61083974,vdk,1,2,1,uor,
2010107,25083614,sfi,1,4,1,mco,
2010108,92888984,ibk,1,4,1,wsd,
2010109,36021319,dog,2,4,1,sqh,
2010110,67210290,brw,1,1,1,uqx,
2010111,31348864,nvn,2,2,1,fdc,
2010112,91266695,klx,1,1,1,her,
2010113,38636382,qky,2,1,1,svy,
2010114,99956129,ilr,1,4,1,lva,
2010115,21434688,tyg,2,3,1,sni,
2010116,65653062,wow,1,1,1,xat,
2010117,72645848,hmi,1,3,1,vty,
2010118,14638822,nor,1,1,1,pxw,
2010119,78621812,ekq,1,1,1,lnt,
2010120,39707394,syp,1,4,1,xfy,
2010121,60021235,dcy,2,2,1,qeh,
2010122,79421636,gjd,1,2,1,yvj,
2010123,78479515,vmj,1,3,1,ctv,
2010124,74048440,trb,2,4,1,nqr,
2010125,60716140,qpj,1,1,1,pnh,
2010126,71229612,xic,1,1,1,rwo,
2010127,13748099,jxb,1,1,1,qke,
2010128,56583103,omk,1,2,1,vde,
2010129,83361466,qad,1,2,1,yqd,
2010130,34592478,qgi,2,3,1,sux,
2010131,39409286,fvc,1,2,1,doc,
2010132,48028626,xmy,1,2,1,klj,
2010133,54378111,cvc,2,1,1,eum,
2010134,52735065,lun,1,4,1,yxs,
2010135,69054455,chm,2,1,1,mhf,
2010136,42656678,mqj,1,2,1,bhg,
2010137,81114084,nts,2,3,1,sxm,
2010138,74542189,oln,2,4,1,wga,
2010139,18670429,fjd,2,2,1,wmy,
2010140,85625563,whq,1,3,1,oqv,
2010141,42904083,csd,1,4,1,hch,
2010142,71894209,dhh,2,3,1,ecf,
2010143,58034726,nmr,2,2,1,als,
2010144,71167246,fwc,1,3,1,pea,
2010145,56303023,vsn,1,4,1,pcj,
2010146,69300989,jpu,2,3,1,wfn,
2010147,83047051,qhx,2,3,1,evx,
2010148,70358741,ghy,1,3,1,uow,
2010149,37161116,jpv,2,2,1,ykh,
2010150,61756270,lgc,2,3,1,xwd,
2010151,54520975,uhf,2,1,1,uah,
2010152,43232791,rbi,1,2,1,iqt,
2010153,22686489,jix,1,1,1,gbq,
2010154,77290978,lvo,2,4,1,pjl,
2010155,30219558,pag,2,3,1,lgd,
2010156,17570697,xdy,1,3,1,cll,
2010157,71182476,ifl,1,3,1,wjx,
2010158,17823202,dxa,1,2,1,gge,
2010159,97240957,cgm,1,1,1,jpf,
2010160,75870511,chj,1,1,1,tfd,
2010161,45750128,kvh,1,3,1,etm,
2010162,35584214,nuq,2,1,1,wnn,
2010163,51244783,kjx,2,3,1,rwr,
2010164,82696706,ufg,2,2,1,uaf,
2010165,10912574,ryk,1,1,1,vre,
2010166,32644002,cuw,2,1,1,asb,
2010167,77457249,som,1,4,1,gdm,
2010168,26892821,xjr,2,1,1,vkc,
2010169,67846322,lnn,2,4,1,uqa,
2010170,47866473,dnw,2,1,1,gme,
2010171,25902955,sjw,2,1,1,thd,
2010172,86976507,myd,1,1,1,ync,
